Region	Time	Type of Visa	NOM Arrivals	NOM Departures	NOM
Victoria	2008	Other Visas	2120	2530	-410
Victoria	2009	Total 	123840	51750	72090
Victoria	2009	Temporary visa - Total	68560	22610	45950
Victoria	2009	Temporary visa - Vocational Education and Training sector	18660	1720	16940
Victoria	2009	Temporary visa - Higher education sector	20730	6620	14110
Victoria	2009	Temporary visa - Student other	7210	1760	5450
Victoria	2009	Temporary visa - Temporary work skilled (subclass 457)	6320	3250	3080
Victoria	2009	Temporary visa - Visitor	9150	3550	5600
Victoria	2009	Temporary visa - Working Holiday	5170	1750	3410
Victoria	2009	Temporary visa - Other temporary visas	1320	3950	-2630
Victoria	2009	Permanent visa - Total	26630	4700	21940
Victoria	2009	Permanent visa - Family	10180	1250	8930
Victoria	2009	Permanent visa - Skill	12210	2180	10030
Victoria	2009	Permanent visa - Special Eligibility and humanitarian	3260	30	3230
Victoria	2009	Permanent visa - Other permanent visas	980	1240	-250
Victoria	2009	New Zealand Citizen (subclass 444)	7640	3150	4500
Victoria	2009	Australian Citizen	18770	18790	-20
Victoria	2009	Other Visas	2240	2510	-270
Victoria	2010	Total 	102810	59600	43210
Victoria	2010	Temporary visa - Total	49240	28050	21190
Victoria	2010	Temporary visa - Vocational Education and Training sector	4180	3150	1030
Victoria	2010	Temporary visa - Higher education sector	14000	8800	5200
Victoria	2010	Temporary visa - Student other	5970	1940	4040
Victoria	2010	Temporary visa - Temporary work skilled (subclass 457)	7250	3040	4210
Victoria	2010	Temporary visa - Visitor	9810	3590	6230
Victoria	2010	Temporary visa - Working Holiday	6500	2550	3950
Victoria	2010	Temporary visa - Other temporary visas	1530	4990	-3460
Victoria	2010	Permanent visa - Total	23340	5350	17990
Victoria	2010	Permanent visa - Family	9640	1490	8150
Victoria	2010	Permanent visa - Skill	10580	2300	8280
Victoria	2010	Permanent visa - Special Eligibility and humanitarian	2030	40	1990
Victoria	2010	Permanent visa - Other permanent visas	1090	1520	-420
Victoria	2010	New Zealand Citizen (subclass 444)	9330	3060	6270
Victoria	2010	Australian Citizen	18680	20530	-1850
Victoria	2010	Other Visas	2230	2600	-370
Victoria	2011	Total 	109520	59210	50310
Victoria	2011	Temporary visa - Total	52180	28550	23640
